"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.044210917E0,5.037025452E0,5.576054535E0,1.844928452E1,1.992084608E1
1.054158917E0,7.436236267E0,5.397924957E0,1.935624847E1,2.142660866E1
1.064106917E0,1.036774017E1,5.586981812E0,1.959634918E1,2.286309916E1
1.074054917E0,1.339040451E1,5.880671082E0,1.907767776E1,2.403836546E1
1.084002917E0,1.570459213E1,6.013145599E0,1.816996536E1,2.475762055E1
1.093950917E0,1.650737274E1,6.119873657E0,1.736359222E1,2.472732382E1
1.103898917E0,1.589858871E1,6.064039764E0,1.655991348E1,2.374380837E1
1.113847917E0,1.439137299E1,5.931116180E0,1.530761765E1,2.183146613E1
1.123795917E0,1.283730469E1,5.766159210E0,1.350237167E1,1.950279530E1
1.133743917E0,1.159833115E1,5.339246979E0,1.156480087E1,1.722711418E1
1.143691917E0,1.035875885E1,4.977000275E0,1.010743149E1,1.530472437E1
1.153639917E0,8.987909546E0,4.766537933E0,8.873996429E0,1.350000794E1
1.163587917E0,8.002508698E0,4.164938965E0,7.816595306E0,1.193675099E1
1.173535917E0,6.932833099E0,3.349434814E0,7.003635864E0,1.040835259E1
1.183483917E0,5.544769592E0,2.404599609E0,5.870791626E0,8.425720351E0
1.193431917E0,3.851939850E0,1.278042297E0,4.370162201E0,5.963987792E0
1.203379917E0,2.035766602E0,2.721340942E-1,2.550995178E0,3.275054049E0
1.213327917E0,5.322930908E-1,-8.232879639E-2,5.939648438E-1,8.018155654E-1
1.223275917E0,-5.757028198E-1,1.209484863E-1,-9.804611206E-1,1.143401190E0
1.233223917E0,-1.304836578E0,2.498304749E-1,-1.994602203E0,2.396549960E0
1.243171917E0,-1.772913208E0,4.303550720E-1,-2.650687866E0,3.217852218E0
1.253119917E0,-2.062710571E0,9.395960999E-1,-2.963686981E0,3.731093171E0
1.263068917E0,-2.132764893E0,1.711091766E0,-2.941982117E0,4.016438708E0
1.273016917E0,-1.982028351E0,2.372117157E0,-2.675087128E0,4.087966161E0
1.282964917E0,-1.943708038E0,3.005150757E0,-2.019300842E0,4.109319640E0
1.292916500E0,-1.395547943E0,3.153043213E0,-1.048719177E0,3.604032114E0
1.302864500E0,-3.794609070E-1,3.138523407E0,-1.854643250E-1,3.166814925E0
1.312812500E0,8.065228271E-1,3.644321594E0,2.881507874E-1,3.743606527E0
1.322760500E0,2.488125916E0,4.583169250E0,4.162843323E-1,5.231587101E0
1.332708500E0,3.598965912E0,4.871320038E0,4.866380310E-1,6.076111513E0
1.342656500E0,3.986510010E0,4.915777588E0,9.241781616E-1,6.396189227E0
1.352604500E0,4.588108978E0,5.017116852E0,1.211131439E0,6.905725513E0
1.362552500E0,5.508993988E0,5.051096191E0,1.210532684E0,7.571524079E0
1.372500500E0,6.427483978E0,5.183720398E0,1.147364044E0,8.336663104E0
1.382448500E0,7.422913971E0,5.523663483E0,1.104553070E0,9.318291022E0
1.392396500E0,8.472231903E0,5.802982635E0,1.188977509E0,1.033764908E1
1.402344500E0,9.459878082E0,6.051615601E0,1.649270325E0,1.135039371E1
1.412292500E0,1.064765808E1,6.263574829E0,2.609074402E0,1.262585686E1
1.422241500E0,1.222118591E1,6.137985992E0,3.443738708E0,1.410289309E1
1.432189500E0,1.386865997E1,5.868546295E0,4.288881226E0,1.565803523E1
1.442137500E0,1.542736862E1,5.610782318E0,5.207670593E0,1.722220700E1
1.452085500E0,1.701990692E1,5.182373199E0,6.059698792E0,1.879505714E1
1.462033500E0,1.851005814E1,5.096751251E0,6.716532898E0,2.033988544E1
1.471981500E0,1.964888992E1,5.304219818E0,6.959627380E0,2.150930116E1
1.481929500E0,2.056962524E1,5.629343719E0,6.852150879E0,2.239979833E1
1.491877500E0,2.118948624E1,5.839356995E0,6.660998383E0,2.296652600E1
1.501825500E0,2.109218857E1,5.794001312E0,6.445746002E0,2.280347586E1
1.511773500E0,2.002386017E1,5.481900330E0,6.263275452E0,2.168489859E1
1.521721500E0,1.829600327E1,5.242697754E0,5.681884460E0,1.986236205E1
1.531669500E0,1.656081161E1,5.190456390E0,4.591252441E0,1.795218421E1
1.541617500E0,1.477442642E1,5.006189575E0,3.480861511E0,1.598317888E1
1.551565500E0,1.316617081E1,4.893174591E0,2.542163544E0,1.427423577E1
1.561513500E0,1.169503006E1,4.800367584E0,1.968855743E0,1.279428193E1
1.571461500E0,1.020921982E1,4.530179443E0,1.763782196E0,1.130759138E1
1.581410500E0,9.076076202E0,4.517455902E0,1.341061249E0,1.022648583E1
1.591358500E0,8.236023102E0,4.978497162E0,9.096583557E-1,9.666694825E0
1.601306500E0,7.260352020E0,5.361849976E0,7.256909180E-1,9.054765261E0
1.611254500E0,6.193071442E0,5.436544647E0,8.228388977E-1,8.281739880E0
1.621202500E0,5.077890472E0,5.285209351E0,9.746232605E-1,7.393801460E0
1.631150500E0,3.959266663E0,5.093308411E0,9.487271118E-1,6.520557200E0
1.641098500E0,2.982098694E0,4.973108368E0,5.743556213E-1,5.827057906E0
1.651046500E0,2.132764893E0,4.773423615E0,3.832031250E-2,5.228358015E0
1.660994500E0,1.556613007E0,4.514761505E0,-4.269122314E-1,4.794618812E0
1.670942500E0,1.170865173E0,4.299509125E0,-5.439688110E-1,4.489165405E0
1.680890500E0,8.321195984E-1,4.077670441E0,-3.326083374E-1,4.174978749E0
1.690838500E0,5.626799011E-1,3.785927124E0,-2.993774414E-4,3.827512632E0
1.700786500E0,6.346801758E-1,3.455414429E0,4.540058899E-1,3.542432660E0
1.710734500E0,1.145567780E0,3.120860138E0,9.045689392E-1,3.445335761E0
1.720682500E0,1.866318970E0,2.846630402E0,1.345851288E0,3.660296003E0
1.730630500E0,2.578687592E0,2.566113739E0,1.735790405E0,4.030823458E0
1.740579500E0,3.214415588E0,2.299518127E0,2.196382599E0,4.521542625E0
1.750527500E0,3.761527863E0,2.139500885E0,2.630779266E0,5.064341561E0
1.760475500E0,4.326153717E0,2.102527771E0,3.105891266E0,5.725625692E0
1.770423500E0,4.987478485E0,2.173180847E0,3.655997314E0,6.554690915E0
1.780371500E0,5.894741821E0,2.490221558E0,4.295617218E0,7.707237626E0
1.790319500E0,7.251819763E0,2.572700043E0,5.179978180E0,9.275766779E0
1.800267500E0,8.763675842E0,2.573448486E0,6.136638794E0,1.100377149E1
1.810215500E0,1.008243347E1,2.619402924E0,7.229067078E0,1.267975344E1
1.820163500E0,1.137754028E1,2.429148560E0,8.408913574E0,1.435475577E1
1.830111500E0,1.286035675E1,1.951491852E0,9.505084076E0,1.611036063E1
1.840059500E0,1.443672867E1,1.396595764E0,1.046503784E1,1.788537479E1
1.850007500E0,1.620904312E1,7.656578064E-1,1.155911270E1,1.992316233E1
1.859955500E0,1.793345718E1,2.621049500E-1,1.263732056E1,2.194036136E1
1.869903500E0,1.906046356E1,-7.873626709E-2,1.327679077E1,2.322887522E1
1.879851500E0,1.961580872E1,-3.920347595E-1,1.349279160E1,2.381153225E1
1.889799500E0,1.982088226E1,-5.743556213E-1,1.344803467E1,2.395927575E1
1.899748500E0,1.987447083E1,-4.625381470E-1,1.316841614E1,2.384566451E1
1.909696500E0,1.950219498E1,-1.953437805E-1,1.276096344E1,2.330699371E1
1.919644500E0,1.852338043E1,2.606080627E-1,1.233704498E1,2.225727338E1
1.929592500E0,1.705179062E1,6.030958557E-1,1.185819077E1,2.077844980E1
1.939540500E0,1.528651154E1,7.209008789E-1,1.102921463E1,1.886374057E1
1.949488500E0,1.330193848E1,7.828720093E-1,1.000923569E1,1.666551094E1
1.959436500E0,1.123818008E1,8.078700256E-1,8.918903046E0,1.436997485E1
1.969384500E0,9.337881775E0,1.020727386E0,7.936046906E0,1.229710376E1
1.979332500E0,7.707921295E0,1.333876190E0,6.858737183E0,1.040353556E1
1.989280500E0,6.343508606E0,1.641785889E0,5.641318817E0,8.646388861E0
1.999228500E0,5.135670319E0,1.975891113E0,4.287384338E0,6.975737938E0
2.009176500E0,4.076323242E0,2.359543304E0,2.978206787E0,5.572573144E0
2.019124500E0,3.144061890E0,2.726580048E0,1.755100250E0,4.516607223E0
2.029072500E0,2.478994904E0,3.201991425E0,6.774911499E-1,4.105747079E0
2.039020500E0,2.143991547E0,3.897894287E0,-1.692979431E-1,4.451846967E0
2.048968500E0,1.803599396E0,4.615801392E0,-9.116043091E-1,5.038810939E0
2.058916500E0,1.325044556E0,5.099295959E0,-1.537452850E0,5.488380783E0
2.068865500E0,1.029559021E0,5.108876038E0,-1.891766052E0,5.544311043E0
2.078813500E0,7.767347717E-1,4.806804199E0,-1.873054962E0,5.216993234E0
2.088761500E0,5.519023132E-1,4.438270569E0,-1.497336273E0,4.716445454E0
2.098709500E0,4.767585754E-1,3.949836273E0,-9.707313538E-1,4.095219736E0
2.108657500E0,5.301974487E-1,3.479065247E0,-2.682421875E-1,3.529441627E0
2.118605500E0,9.023236084E-1,2.991229706E0,2.201921082E-1,3.132112324E0
2.128553500E0,1.554667053E0,2.508633270E0,4.363426208E-1,2.983391596E0
2.138501500E0,2.394121399E0,2.078278198E0,5.728587341E-1,3.221680411E0
2.148449500E0,3.035687256E0,1.547931061E0,8.081694031E-1,3.502088729E0
2.158397500E0,3.512745209E0,1.071322174E0,1.188229065E0,3.859922073E0
2.168345500E0,3.974983978E0,7.213499451E-1,1.749711456E0,4.402537172E0
2.178293500E0,4.584516449E0,5.595364380E-1,2.461631012E0,5.233593348E0
2.188241500E0,5.245092773E0,3.878434753E-1,3.297343140E0,6.207567361E0
2.198189500E0,5.752238159E0,3.457809448E-1,4.354295197E0,7.222720745E0
2.208137500E0,6.269113312E0,4.242178345E-1,5.669609985E0,8.463227509E0
2.218085500E0,6.843468933E0,2.412982178E-1,7.216193848E0,9.948102609E0
2.228033500E0,7.677684174E0,-1.932481384E-1,8.886420593E0,1.174532460E1
2.237982500E0,9.012308807E0,-6.071374512E-1,1.035875885E1,1.374387903E1
2.247930500E0,1.083402054E1,-1.012793884E0,1.131676666E1,1.569939362E1
2.257878500E0,1.310180466E1,-1.528920593E0,1.214619186E1,1.793111431E1
2.267826500E0,1.541689041E1,-2.039209442E0,1.316736832E1,2.037691030E1
2.277774500E0,1.725476852E1,-2.242636414E0,1.404604111E1,2.236174693E1
2.287722500E0,1.855032440E1,-2.049537964E0,1.405053177E1,2.336092002E1
2.297666917E0,1.917168228E1,-1.773961029E0,1.352078339E1,2.352683410E1
2.307614917E0,1.890433823E1,-1.201401672E0,1.294268555E1,2.294189353E1
2.317562917E0,1.775727356E1,-5.034031677E-1,1.242146942E1,2.167641764E1
2.327510917E0,1.594484253E1,-7.080276489E-2,1.185998703E1,1.987214907E1
2.337458917E0,1.403526352E1,1.959425354E-1,1.105555984E1,1.786763608E1
2.347406917E0,1.230381409E1,5.183720398E-1,9.997559967E0,1.586202244E1
2.357354917E0,1.074944641E1,9.071136475E-1,8.825497284E0,1.393782105E1
2.367302917E0,9.123228149E0,1.246158600E0,7.738757172E0,1.202807406E1
2.377250917E0,7.474406891E0,1.598226471E0,6.939269714E0,1.032349507E1
2.387198917E0,5.911956024E0,2.007924500E0,6.420149231E0,8.955517907E0
2.397147917E0,4.518503723E0,2.494263153E0,5.995033264E0,7.910666749E0
2.407095917E0,3.289559326E0,3.038231964E0,5.599405975E0,7.169756014E0
2.417043917E0,2.321971436E0,3.725752258E0,4.911436615E0,6.587487447E0
2.426991917E0,1.691183167E0,4.323908386E0,3.907174988E0,6.068138151E0
2.436939917E0,1.346450043E0,4.920268250E0,2.755919037E0,5.798021827E0
2.446887917E0,9.617500305E-1,5.477110291E0,1.696422272E0,5.813909939E0
2.456835917E0,6.342311096E-1,5.648803253E0,1.077010345E0,5.785428124E0
2.466783917E0,3.167413330E-1,5.507048035E0,1.238823853E0,5.653546468E0
2.476731917E0,-1.047821045E-1,5.335953827E0,2.133513336E0,5.747630963E0
2.486679917E0,-3.141966248E-1,4.998854828E0,3.377725983E0,6.041216924E0
2.496627917E0,-1.901046753E-1,4.288432159E0,4.538562012E0,6.247026117E0
2.506575917E0,4.179309082E-1,3.361559601E0,5.408403168E0,6.381659190E0
2.516523917E0,1.303339691E0,2.785557404E0,5.623206482E0,6.409249218E0
2.526471917E0,2.216141510E0,2.258204041E0,5.429958344E0,6.284521962E0
2.536419917E0,2.881358185E0,1.717528381E0,5.571713562E0,6.503546782E0
2.546367917E0,3.225941620E0,1.197809143E0,6.226452026E0,7.114081172E0
2.556315917E0,3.519481201E0,8.009843445E-1,7.221732330E0,8.073521022E0
2.566263917E0,3.878285065E0,3.858975220E-1,8.432863770E0,9.289951738E0
2.576212917E0,4.349505157E0,-2.269281006E-1,9.906399536E0,1.082157305E1
2.586160917E0,5.109474792E0,-8.494834900E-1,1.116004257E1,1.230345094E1
2.596108917E0,6.006858673E0,-1.307680664E0,1.181537979E1,1.331899318E1
2.606056917E0,7.129673767E0,-1.732347565E0,1.230635880E1,1.432758678E1
2.616004917E0,8.564440155E0,-2.187101898E0,1.266531235E1,1.544484337E1
2.625952917E0,1.036774017E1,-2.713407440E0,1.293026138E1,1.679417386E1
2.635900917E0,1.224678268E1,-3.132685547E0,1.343426331E1,1.844659414E1
2.645848917E0,1.386701340E1,-3.540138245E0,1.423584641E1,2.018628154E1
2.655796917E0,1.508473114E1,-3.978127441E0,1.479628098E1,2.150126839E1
2.665744917E0,1.599992798E1,-4.307742004E0,1.454076233E1,2.204513791E1
2.675692917E0,1.676723236E1,-4.309238892E0,1.347857117E1,2.194040796E1
2.685640917E0,1.713920883E1,-3.888613586E0,1.185145477E1,2.119742379E1
2.695588917E0,1.687860077E1,-3.409160614E0,1.044961990E1,2.014209761E1
2.705536917E0,1.612207397E1,-2.812800751E0,9.628726959E0,1.898803571E1
2.715484917E0,1.485106705E1,-2.313738556E0,9.080866241E0,1.756045871E1
2.725432917E0,1.309626617E1,-1.667981415E0,8.702752533E0,1.581240815E1
2.735380917E0,1.138262970E1,-1.247505798E0,8.416398010E0,1.421113243E1
2.745329917E0,9.998907166E0,-9.524693298E-1,7.847730560E0,1.274645901E1
2.755277917E0,8.766819305E0,-5.246589661E-1,6.865024109E0,1.114723929E1
2.765225917E0,7.502997437E0,-3.772155762E-2,5.741610260E0,9.447882399E0
2.775173917E0,6.284082184E0,4.791535950E-1,4.738546143E0,7.884991858E0
2.785121917E0,5.132676544E0,9.430389404E-1,3.924389191E0,6.529511580E0
2.795069917E0,4.082310791E0,1.344803467E0,3.286415863E0,5.410571780E0
2.805017917E0,3.021616516E0,1.708397369E0,2.759062500E0,4.434096731E0
2.814965917E0,1.940863953E0,2.049238586E0,2.257305908E0,3.614105924E0
2.824913917E0,9.680369568E-1,2.435734863E0,1.675615540E0,3.110882079E0
2.834861917E0,3.433859253E-1,2.783461761E0,1.008003845E0,2.980208889E0
2.844809917E0,1.625619507E-1,2.840642853E0,4.369413757E-1,2.878644815E0
2.854757917E0,2.140548706E-1,2.836002502E0,8.457412720E-2,2.845326425E0
2.864705917E0,3.106040955E-1,2.802322540E0,1.951940918E-1,2.826231989E0
2.874653917E0,3.278182983E-1,2.590063934E0,7.640112305E-1,2.720222267E0
2.884601917E0,3.436853027E-1,2.279010773E0,1.486408997E0,2.742520993E0
2.894549917E0,5.938151550E-1,2.048939209E0,2.108964386E0,2.999749840E0
2.904497917E0,1.202299805E0,1.828298035E0,2.449356537E0,3.284439978E0
2.914445917E0,2.072739716E0,1.644629974E0,2.499651947E0,3.639961200E0
2.924394917E0,2.904559937E0,1.509011993E0,2.531535645E0,4.137905067E0
2.934342917E0,3.601061554E0,1.531165924E0,2.682272186E0,4.744122414E0
2.944290917E0,4.285588074E0,1.744472351E0,2.787653046E0,5.401893966E0
2.954238917E0,4.995112610E0,1.926493835E0,3.119962006E0,6.196506387E0
2.964186917E0,5.802084503E0,2.040107574E0,4.003724213E0,7.338666845E0
2.974134917E0,6.685996399E0,2.175276489E0,5.330265656E0,8.823044124E0
2.984082917E0,7.335346069E0,2.198927307E0,7.006180573E0,1.037926536E1
2.994030917E0,8.065677338E0,1.446741486E0,9.277257843E0,1.237803397E1
