"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.098479708E0,8.421487427E0,-4.404141541E0,-1.686842194E0,9.652116337E0
1.108448708E0,1.055275543E1,-4.534520416E0,-1.406175842E0,1.157151041E1
1.118416708E0,1.198692307E1,-6.164181519E0,-1.525926819E0,1.356509901E1
1.128385708E0,1.387135437E1,-7.082821198E0,-1.900597687E0,1.569054173E1
1.138353708E0,1.645797546E1,-5.416186981E0,-2.838696899E0,1.755728447E1
1.148321708E0,1.797806442E1,-2.839145966E0,-2.876568146E0,1.842677928E1
1.158290708E0,1.766940628E1,-2.397115173E0,-2.901865540E0,1.806584908E1
1.168258708E0,1.749112701E1,-2.174528046E0,-4.140240326E0,1.810551536E1
1.178227708E0,1.637594604E1,-6.932084656E-1,-5.588329010E0,1.731708890E1
1.188195708E0,1.453013443E1,-6.800358582E-1,-6.409970398E0,1.589575339E1
1.198163708E0,1.388617355E1,-2.509980469E0,-3.413501587E0,1.451818897E1
1.208132708E0,1.356449249E1,-5.293142853E0,8.294252014E-1,1.458426426E1
1.218100708E0,1.314012497E1,-7.202721863E0,3.655099182E0,1.542406679E1
1.228069708E0,1.212837891E1,-7.732769623E0,4.620142365E0,1.510758142E1
1.238037708E0,1.052581146E1,-7.705526276E0,4.183949432E0,1.369938958E1
1.248006708E0,1.022778122E1,-7.398365021E0,3.379222870E0,1.306761114E1
1.257974708E0,1.249900818E1,-5.539081421E0,4.623884583E-1,1.367919704E1
1.267942708E0,1.500734207E1,-2.972518616E0,-2.453847198E0,1.549443607E1
1.277911708E0,1.337274124E1,-3.971690826E0,-2.636467438E0,1.419702423E1
1.287879708E0,9.411678314E0,-5.719755707E0,-5.324427795E-1,1.102627722E1
1.297848708E0,8.301886139E0,-6.204148407E0,5.679190063E-1,1.037956179E1
1.307816708E0,9.304950256E0,-6.283184052E0,1.456770630E0,1.132177909E1
1.317785708E0,1.010713211E1,-6.276897125E0,3.716770935E0,1.246466779E1
1.327753708E0,1.033645523E1,-6.803052979E0,6.251450043E0,1.386378246E1
1.337721708E0,1.018467087E1,-6.797963562E0,7.216193848E0,1.421313769E1
1.347690708E0,9.609117737E0,-6.011648712E0,6.727310486E0,1.318073482E1
1.357658708E0,9.559870148E0,-5.158872070E0,6.340664520E0,1.257812008E1
1.367627708E0,9.810299377E0,-4.348307648E0,6.269263000E0,1.242792870E1
1.377595708E0,9.956694946E0,-3.401526489E0,5.536536713E0,1.188946574E1
1.387563708E0,9.973460083E0,-3.153492279E0,5.091961212E0,1.163367906E1
1.397532708E0,1.052655991E1,-2.871029663E0,4.978197784E0,1.199307000E1
1.407500708E0,1.056592804E1,-1.322948914E0,2.872376862E0,1.102903341E1
1.417469708E0,1.025277924E1,-4.508624268E-1,1.121767273E0,1.032381329E1
1.427437708E0,1.091964249E1,-5.074447632E-2,1.819616089E0,1.107032835E1
1.437406708E0,9.802515564E0,5.782475281E-1,8.900491333E-1,9.859810802E0
1.447374708E0,8.035589905E0,9.488768005E-1,-1.104852448E0,8.166502999E0
1.457342708E0,7.358248444E0,9.439370728E-1,-1.102158051E0,7.499972648E0
1.467311708E0,7.122039642E0,1.170416107E0,-1.476230164E0,7.366992468E0
1.477279708E0,7.049290924E0,9.505233765E-1,-1.468596039E0,7.263110322E0
1.487248708E0,5.801934814E0,-1.624122620E-1,-1.093925171E0,5.906394637E0
1.497216708E0,4.639152832E0,-1.748064880E0,-5.122348022E-1,4.983959703E0
1.507185708E0,3.550167389E0,-2.402653656E0,-8.247848511E-1,4.365398393E0
1.517153708E0,2.888692932E0,-2.431842957E0,-1.040635986E0,3.916801026E0
1.527121708E0,3.469485168E0,-2.670297089E0,-9.400451660E-2,4.379115290E0
1.537090708E0,3.985611877E0,-1.835333405E0,-3.044668579E-1,4.398437315E0
1.547058708E0,3.987557831E0,-9.071136475E-2,-2.062560883E0,4.490323307E0
1.557027708E0,4.542453918E0,1.341510315E0,-3.270848236E0,5.756039064E0
1.566995708E0,5.669759674E0,2.061962128E0,-3.056194611E0,6.763001410E0
1.576964708E0,6.056555328E0,1.500180359E0,-2.175426178E0,6.607940875E0
1.586932708E0,5.279221802E0,3.179388428E-1,-1.808688812E0,5.589510100E0
1.596900708E0,5.876629486E0,-1.836530914E0,-1.856439514E0,6.430706616E0
1.606869708E0,8.799152069E0,-4.086352386E0,4.086502075E-1,9.710321722E0
1.616837708E0,1.040710831E1,-5.156027985E0,2.880609741E0,1.196622081E1
1.626806708E0,8.080197144E0,-4.394711151E0,2.098186798E0,9.434270498E0
1.636774708E0,5.958209839E0,-3.373085632E0,-4.311035156E-2,6.846884669E0
1.646742708E0,5.605992279E0,-2.604434052E0,-1.377285919E0,6.333020027E0
1.656711708E0,6.996450806E0,-1.729204102E0,-1.826801147E0,7.434895637E0
1.666679708E0,8.145012360E0,-1.840572510E0,-2.861150208E0,8.826953835E0
1.676648708E0,7.120243378E0,-2.318827972E0,-5.109325104E0,9.065320289E0
1.686616708E0,5.317093048E0,-2.246528320E0,-6.790628815E0,8.912407513E0
1.696585708E0,7.033723297E0,-2.494562531E0,-7.249424744E0,1.040433875E1
1.706553708E0,8.527467041E0,-3.069516907E0,-4.085154877E0,9.941233251E0
1.716521708E0,1.100466568E1,-2.118694153E0,-1.301842804E0,1.128212419E1
1.726490708E0,1.431084045E1,-1.084045715E0,2.439926147E-2,1.435186068E1
1.736458708E0,1.846934280E1,-2.993774414E-2,5.170996857E0,1.917959145E1
1.746427708E0,1.852981705E1,1.014889526E-1,5.731581116E0,1.939627392E1
1.756395708E0,1.538485703E1,-4.951702881E-1,2.264940033E0,1.555856589E1
1.766364708E0,1.182660645E1,-1.343007202E0,-1.130898285E0,1.195622095E1
1.776332708E0,1.047701294E1,-2.240391083E0,-2.143692169E0,1.092623304E1
1.786300708E0,1.057625656E1,-2.649640045E0,-3.464545441E0,1.144031775E1
1.796269708E0,8.401878204E0,-3.545077972E0,-8.363557892E0,1.237369128E1
1.806237708E0,7.696694641E0,-5.486241302E0,-9.844578094E0,1.364747852E1
1.816206708E0,9.123976593E0,-6.045628052E0,-6.804849243E0,1.288807746E1
1.826174708E0,1.164593216E1,-6.444398804E0,-5.544769592E0,1.441882386E1
1.836143708E0,1.527947617E1,-7.536827087E0,-3.926484833E0,1.748380501E1
1.846111708E0,1.736943008E1,-7.917784882E0,-2.229164429E0,1.921867823E1
1.856079708E0,1.846844467E1,-7.986492004E0,-7.457492065E-1,2.013513459E1
1.866048708E0,1.911315399E1,-8.497529297E0,6.144721985E-1,2.092601815E1
1.876016708E0,1.895418457E1,-9.176217957E0,1.986968079E0,2.115211883E1
1.885985708E0,1.809063034E1,-9.948611755E0,7.786807251E-1,2.066039994E1
1.895953708E0,1.630693954E1,-1.071636520E1,-6.221063232E-1,1.952290390E1
1.905922708E0,1.478999405E1,-1.146421005E1,-1.571731567E0,1.877877462E1
1.915890708E0,1.239048386E1,-1.221385117E1,-2.548899536E0,1.758405924E1
1.925858458E0,9.427545319E0,-1.234752319E1,-5.034929810E0,1.633066006E1
1.935827458E0,7.346273346E0,-1.083656525E1,-7.092101898E0,1.488948581E1
1.945795458E0,7.874824219E0,-9.173224182E0,-6.581064606E0,1.376485778E1
1.955764458E0,9.844278717E0,-7.610324249E0,-4.321213989E0,1.317193034E1
1.965732458E0,1.125120300E1,-6.375691681E0,-1.996248779E0,1.308525975E1
1.975701458E0,9.994266815E0,-5.722749481E0,-1.720522156E0,1.164454496E1
1.985669458E0,7.659721527E0,-4.896916809E0,-4.970713348E0,1.036142458E1
1.995637458E0,6.297703857E0,-1.954635315E0,-4.950355682E0,8.245465085E0
2.005606458E0,6.286477203E0,-5.869294739E-1,-2.351909180E0,6.737637466E0
2.015574458E0,7.312892761E0,-1.396595764E0,-6.447093201E-1,7.472919802E0
2.025543458E0,7.906258850E0,-2.014361115E0,9.924362183E-2,8.159438032E0
2.035511458E0,8.109536133E0,-1.522933044E0,3.037184143E-1,8.256884777E0
2.045480458E0,7.826175385E0,-1.666334839E0,2.228865051E-1,8.004709323E0
2.055448458E0,7.538773041E0,-2.627186737E0,7.455995178E-1,8.018174839E0
2.065416458E0,6.235433350E0,-3.180136871E0,1.637594604E0,7.188575357E0
2.075385458E0,2.399061127E0,-2.434687042E0,-9.151968384E-1,3.538471497E0
2.085353458E0,1.691482544E-2,-1.123563538E0,-3.591481476E0,3.763166263E0
2.095322458E0,1.833986206E0,-2.897973633E-1,-2.133363647E0,2.828202321E0
2.105290458E0,3.162174225E0,-5.007087708E-1,-7.117698669E-1,3.279736490E0
2.115259458E0,5.076094208E0,-5.426216125E-1,3.228785706E-1,5.115214677E0
2.125227458E0,9.972561951E0,1.228645020E0,2.331850891E0,1.031499341E1
2.135195458E0,9.339378662E0,2.825673981E0,8.385562134E-1,9.793446981E0
2.145164458E0,4.557871857E0,6.183641052E-1,-1.655108185E0,4.888348712E0
2.155132458E0,3.268752594E0,-1.556912384E0,-1.892813873E0,4.085518823E0
2.165101458E0,2.912643127E0,-3.334465942E0,-2.100132751E0,4.900276592E0
2.175069458E0,4.987777863E0,-4.690346375E0,-2.935994568E0,7.449653765E0
2.185038458E0,9.067394257E0,-4.977149963E0,-1.839824066E0,1.050593227E1
2.195006458E0,1.257819351E1,-3.840264130E0,9.892927551E-1,1.318852838E1
2.204974458E0,1.548095718E1,-2.559976501E0,1.597627716E0,1.577231528E1
2.214943458E0,1.806533295E1,-2.381248169E0,6.212081909E-2,1.822170289E1
2.224911458E0,1.865301086E1,-1.579216003E0,-1.799557800E0,1.880604014E1
2.234880458E0,1.769919434E1,1.323248291E-1,-4.987628174E-1,1.770671495E1
2.244848458E0,1.246652573E1,1.689237213E0,3.157234497E0,1.297057885E1
2.254817458E0,8.047415314E0,1.272354126E-2,9.975256348E-1,8.109014275E0
2.264785458E0,7.485932922E0,-2.837948456E0,-1.599873047E0,8.164112746E0
2.274753458E0,7.312443695E0,-3.104993134E0,-2.228565674E0,8.251019338E0
2.284722458E0,8.779542847E0,-1.898502045E0,-3.002306671E0,9.470930681E0
2.294690458E0,9.965526581E0,-2.974614258E0,-2.789748688E0,1.076767142E1
2.304659458E0,8.853189697E0,-5.602250061E0,-1.257385254E0,1.055202309E1
2.314627458E0,7.109914856E0,-4.912484436E0,5.897735596E-2,8.642156613E0
2.324595458E0,5.748046875E0,-2.962788849E0,1.479074249E0,6.633688361E0
2.334564458E0,6.250851288E0,-4.350253601E0,7.484436035E-1,7.652320958E0
2.344532458E0,7.254663849E0,-6.789730682E0,-1.809586945E0,1.009976214E1
2.354501458E0,3.753145294E0,-7.499554596E0,-9.827064514E-1,8.443644397E0
2.364469458E0,3.728746033E0,-8.928183746E0,4.093986511E-1,9.684194300E0
2.374438458E0,7.389084320E0,-9.717791748E0,1.445244598E0,1.229320038E1
2.384406458E0,7.024292908E0,-9.019793243E0,3.172053680E0,1.186420185E1
2.394374458E0,4.865631866E0,-8.142467651E0,1.664388885E0,9.630386455E0
2.404343458E0,2.674338684E0,-7.179220734E0,7.937992859E-1,7.702169503E0
2.414311458E0,1.385518799E0,-6.625222778E0,2.040257263E-1,6.771622088E0
2.424280458E0,1.435065765E0,-5.963448944E0,-5.411247253E-1,6.157511919E0
2.434248458E0,1.384321289E0,-5.090164948E0,-9.072633362E-1,5.352499546E0
2.444217458E0,1.514999542E0,-4.749024353E0,-1.541644135E0,5.217769883E0
2.454185458E0,1.746717682E0,-4.832999725E0,-2.531236267E0,5.728530880E0
2.464153458E0,2.195783844E0,-5.055586853E0,-3.347189484E0,6.448573684E0
2.474122458E0,3.115621033E0,-5.214406586E0,-3.177592163E0,6.855233214E0
2.484090458E0,3.852239227E0,-5.488935699E0,-2.639461212E0,7.206588490E0
2.494059458E0,4.398752747E0,-5.949228516E0,-2.161205750E0,7.707992991E0
2.504027458E0,4.568948822E0,-6.173761597E0,-1.350641327E0,7.798388140E0
