"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.103620750E0,-8.831634521E-1,-3.890409851E-1,8.180787964E0,8.237513113E0
1.113570750E0,-1.235081635E0,-2.869532776E-1,7.253915405E0,7.363902331E0
1.123519750E0,-9.166937256E-1,-4.402345276E-1,7.498357086E0,7.567000252E0
1.133469750E0,-2.454895020E-1,-7.571255493E-1,8.296946411E0,8.335035929E0
1.143418750E0,5.619314575E-1,-8.122109985E-1,7.674241333E0,7.737534084E0
1.153368750E0,1.614243164E0,-8.045768738E-1,5.893993378E0,6.163788030E0
1.163317750E0,2.708018646E0,-9.033714294E-1,5.156776428E0,5.894216492E0
1.173267750E0,4.136498108E0,-1.236428833E0,6.572981415E0,7.864061135E0
1.183216750E0,4.995411987E0,-1.344953156E0,7.186705170E0,8.855042129E0
1.193166750E0,5.766009521E0,-1.241967316E0,8.096363525E0,1.001700808E1
1.203116750E0,6.783144379E0,-9.279203796E-1,8.824599152E0,1.116895850E1
1.213065750E0,7.663763123E0,-8.825646973E-1,8.372688904E0,1.138481906E1
1.223015750E0,7.777227173E0,-1.217118988E0,6.583459625E0,1.026199697E1
1.232964750E0,7.653284912E0,-1.607058105E0,5.544769592E0,9.586442277E0
1.242914750E0,7.380402374E0,-1.400637360E0,5.843398590E0,9.517217624E0
1.252863750E0,6.382727051E0,-4.764591980E-1,6.560407562E0,9.165433179E0
1.262813750E0,5.970184937E0,5.087919617E-1,6.710245972E0,8.996075724E0
1.272762750E0,7.103478241E0,-1.447639618E0,6.806196442E0,9.943810818E0
1.282712750E0,7.912695465E0,-2.953957214E0,6.153254242E0,1.044983974E1
1.292661750E0,8.265661469E0,-2.114951935E0,5.464835815E0,1.013205861E1
1.302611750E0,7.957751770E0,-1.070573730E0,5.143903198E0,9.535810477E0
1.312561750E0,7.698341217E0,-1.872605896E-1,5.263354797E0,9.327509193E0
1.322510750E0,7.238497467E0,-1.948947144E-1,5.457052002E0,9.067152038E0
1.332460750E0,5.426365814E0,-1.031954041E0,6.405479736E0,8.458164443E0
1.342409750E0,2.296075287E0,-2.232307892E0,7.680228882E0,8.321122276E0
1.352359750E0,-5.525010681E-1,-3.919898529E0,8.139174500E0,9.050802365E0
1.362308750E0,-1.006057892E0,-6.085295563E0,6.570436707E0,9.011859580E0
1.372258750E0,1.121467896E0,-7.279811554E0,3.994293823E0,8.379005290E0
1.382207750E0,4.558470612E0,-5.933960266E0,3.606150970E0,8.306374876E0
1.392157750E0,8.512348480E0,-4.043391724E0,5.638175354E0,1.098171729E1
1.402106750E0,9.893226929E0,-3.836970978E0,8.066126404E0,1.332894146E1
1.412056750E0,9.270970917E0,-4.227209473E0,8.574020233E0,1.331668219E1
1.422006750E0,8.717122650E0,-4.122127991E0,8.205636292E0,1.266146253E1
1.431955750E0,8.760682068E0,-3.624862061E0,8.553213501E0,1.276897163E1
1.441905750E0,8.977581024E0,-3.377725983E0,9.109905853E0,1.322861968E1
1.451854750E0,9.354946289E0,-3.625011749E0,9.086554413E0,1.353592263E1
1.461804750E0,9.875264282E0,-4.033961334E0,8.931476898E0,1.391276278E1
1.471753750E0,1.050141220E1,-4.328548737E0,8.900940399E0,1.443061788E1
1.481703750E0,1.120988892E1,-4.445156250E0,9.085506592E0,1.509859111E1
1.491652750E0,1.183588715E1,-4.531077576E0,9.564660187E0,1.587770805E1
1.501602750E0,1.242790604E1,-4.602329407E0,9.947414246E0,1.657061660E1
1.511551750E0,1.284239410E1,-4.721331940E0,1.019215530E1,1.706159698E1
1.521501750E0,1.300435730E1,-4.586761780E0,1.024783951E1,1.718050951E1
1.531451750E0,1.301154236E1,-4.267625427E0,9.943522339E0,1.692295772E1
1.541400750E0,1.264555344E1,-4.190835114E0,9.533824310E0,1.638190852E1
1.551350750E0,1.185040695E1,-4.548441467E0,9.277557220E0,1.572238953E1
1.561296500E0,1.163889679E1,-4.372257843E0,8.979676666E0,1.533672554E1
1.571246500E0,1.205922272E1,-3.693718872E0,8.554710388E0,1.523979926E1
1.581195500E0,1.217148926E1,-3.211721191E0,8.496481476E0,1.518718214E1
1.591145500E0,1.221938965E1,-2.793490906E0,8.458610229E0,1.512167854E1
1.601094500E0,1.230381409E1,-2.548300781E0,8.797355804E0,1.533855101E1
1.611044500E0,1.234632568E1,-2.516117706E0,8.934320984E0,1.544618716E1
1.620994500E0,1.215262848E1,-2.314037933E0,8.585845642E0,1.505848252E1
1.630943500E0,1.174143356E1,-2.265089722E0,8.328979797E0,1.457270730E1
1.640893500E0,1.120180573E1,-2.887794800E0,8.029752045E0,1.408178711E1
1.650842500E0,1.062161224E1,-3.408561859E0,7.773335266E0,1.359638488E1
