"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.167947833E0,-1.071037766E1,-4.104165344E0,-1.800006866E0,1.161018464E1
1.177889833E0,-1.076187057E1,-4.466262360E0,-1.479972382E0,1.174545342E1
1.187831833E0,-1.099418747E1,-4.816833344E0,-1.339115295E0,1.207755237E1
1.197773833E0,-1.122605530E1,-5.109175415E0,-1.140328674E0,1.238661941E1
1.207715833E0,-1.146600632E1,-5.334157562E0,-1.055455170E0,1.269001668E1
1.217657833E0,-1.163560364E1,-5.488037567E0,-1.044677582E0,1.290725298E1
1.227599833E0,-1.148561554E1,-5.662125549E0,-1.076710968E0,1.285061619E1
1.237541833E0,-1.126033401E1,-5.942342834E0,-1.220861206E0,1.279050674E1
1.247483833E0,-1.092218719E1,-6.291716309E0,-1.401385803E0,1.268241891E1
1.257425833E0,-1.051683014E1,-6.539600830E0,-1.661993866E0,1.249529187E1
1.267367833E0,-1.023900787E1,-6.662794647E0,-1.708696747E0,1.233490005E1
1.277309833E0,-1.000324814E1,-6.769522705E0,-1.601369934E0,1.218424379E1
1.287251833E0,-9.982890472E0,-6.919810181E0,-1.538800049E0,1.224376497E1
1.297193833E0,-1.028406418E1,-7.176676025E0,-1.519340515E0,1.263230186E1
1.307135833E0,-1.082129700E1,-7.422315216E0,-1.588945770E0,1.321801727E1
1.317077833E0,-1.114148117E1,-7.535180511E0,-1.609602814E0,1.354630463E1
1.327019583E0,-1.109118576E1,-7.625891876E0,-1.637594604E0,1.355914247E1
1.336961583E0,-1.060140427E1,-7.639962616E0,-1.622026978E0,1.316775504E1
1.346903583E0,-9.768236847E0,-7.474257202E0,-1.445244598E0,1.238433300E1
1.356845583E0,-8.696914673E0,-7.134463806E0,-1.140628052E0,1.130654372E1
1.366787583E0,-7.595205688E0,-6.575526123E0,-7.590715027E-1,1.007476465E1
1.376729583E0,-6.760391693E0,-6.011199646E0,-5.346881104E-1,9.062191148E0
1.386671583E0,-6.371051331E0,-5.700894928E0,-4.575984192E-1,8.561535747E0
1.396613583E0,-6.136788483E0,-5.834117889E0,-5.806425476E-1,8.487299346E0
1.406555583E0,-5.833968201E0,-6.160289612E0,-8.707392883E-1,8.528923729E0
1.416497583E0,-5.489384766E0,-6.471941528E0,-1.366358643E0,8.595714525E0
1.426439583E0,-5.137017517E0,-6.919510803E0,-2.005978546E0,8.848306542E0
1.436381583E0,-4.793032837E0,-7.417824554E0,-2.579136658E0,9.200501660E0
1.446323583E0,-4.495002594E0,-7.877967682E0,-2.872676239E0,9.514183722E0
1.456265583E0,-4.165537720E0,-8.334218903E0,-2.969375153E0,9.778962011E0
1.466207583E0,-3.855981445E0,-8.721763000E0,-3.082539825E0,1.002196560E1
1.476149583E0,-3.538192291E0,-9.058412933E0,-3.179837494E0,1.023156958E1
1.486091583E0,-3.267405396E0,-9.300309906E0,-3.225342865E0,1.037181464E1
1.496033583E0,-2.996019745E0,-9.493707733E0,-3.176544342E0,1.044973946E1
1.505975583E0,-2.638862457E0,-9.576485596E0,-3.187770996E0,1.043238014E1
1.515917583E0,-2.434088287E0,-9.678423615E0,-3.232527924E0,1.049027675E1
1.525859583E0,-2.564916229E0,-9.717342682E0,-3.284918976E0,1.057337395E1
1.535801583E0,-2.954256592E0,-9.470356293E0,-3.329975281E0,1.046441664E1
1.545743583E0,-3.627257080E0,-8.972940674E0,-3.381019135E0,1.025192414E1
1.555685583E0,-4.159550171E0,-8.402776337E0,-3.415148163E0,9.978564264E0
1.565627583E0,-4.681963806E0,-7.943082275E0,-3.520828400E0,9.869628855E0
1.575569583E0,-5.304369507E0,-7.591762848E0,-3.739822998E0,9.987866392E0
1.585511583E0,-5.897585907E0,-7.352709961E0,-3.971840515E0,1.022836157E1
1.595453583E0,-6.443800049E0,-7.196434937E0,-4.131558380E0,1.050623670E1
1.605395583E0,-6.883884888E0,-7.039112091E0,-4.162693634E0,1.068948027E1
1.615337583E0,-7.484286346E0,-6.954088898E0,-4.105362854E0,1.101035416E1
1.625279583E0,-8.356672211E0,-6.788682861E0,-4.118236084E0,1.152736110E1
1.635221583E0,-9.029972076E0,-6.456373901E0,-4.190236359E0,1.186521135E1
1.645163583E0,-9.342372437E0,-6.120173035E0,-4.153263245E0,1.191578937E1
1.655105583E0,-9.630822601E0,-5.900729370E0,-4.095633087E0,1.201438977E1
1.665047583E0,-1.001103195E1,-5.693410492E0,-4.074227600E0,1.221617838E1
1.674989583E0,-1.050275940E1,-5.466183014E0,-4.130211182E0,1.253976699E1
1.684931583E0,-1.103415436E1,-5.131179657E0,-3.957021332E0,1.279607693E1
1.694873583E0,-1.167302582E1,-4.776417389E0,-3.795357513E0,1.317112119E1
1.704815583E0,-1.241009308E1,-4.391717377E0,-3.783681793E0,1.369722014E1
1.714757583E0,-1.293430298E1,-3.993395691E0,-3.831282806E0,1.406848004E1
1.724699583E0,-1.304686890E1,-3.689078522E0,-3.682192841E0,1.404950648E1
1.734641583E0,-1.300091446E1,-3.397634583E0,-3.326981506E0,1.384328370E1
1.744583583E0,-1.289822800E1,-3.159479828E0,-2.775228882E0,1.356644735E1
1.754525583E0,-1.279539185E1,-3.151097260E0,-2.165995789E0,1.335451250E1
1.764467583E0,-1.268716690E1,-3.238365784E0,-1.616787872E0,1.319337788E1
1.774409583E0,-1.271231461E1,-3.263363800E0,-1.160686340E0,1.317572308E1
1.784351583E0,-1.305465271E1,-3.198249207E0,-1.024020538E0,1.347966518E1
1.794293583E0,-1.357422226E1,-3.091521149E0,-1.053509216E0,1.396162221E1
1.804235583E0,-1.383138748E1,-2.912044373E0,-9.759704590E-1,1.416826738E1
1.814177583E0,-1.373902954E1,-2.772534485E0,-7.601193237E-1,1.403658297E1
1.824119583E0,-1.365685043E1,-2.738555145E0,-6.131250000E-1,1.394220823E1
1.834061583E0,-1.400457733E1,-2.932402039E0,-7.051835632E-1,1.432565712E1
1.844002583E0,-1.448148560E1,-3.241509247E0,-9.303153992E-1,1.486897085E1
1.853945583E0,-1.479897537E1,-3.494034119E0,-1.077160034E0,1.524395684E1
